run_name,dataset,model,smote_arm,condition,alpha,seed,status,exit_code,wall_seconds,smote_inoperative,sub6_count,data_hash,partition_hash,rounds_completed,rounds_configured,aggregation,log
creditcard_smote_iid_bert_fraud_ana_s42,creditcard,bert_fraud,smote,iid,,42,success,0,559.0,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,7b688054df33b633896520415072d91c219323722215a77477bb3e20fe2e3cbf,20,20,accuracy-weighted-FedAvg,results/sweep/creditcard_smote_iid_bert_fraud_ana_s42/run.log
creditcard_smote_noniid_bert_fraud_a0.5_s42,creditcard,bert_fraud,smote,noniid,0.5,42,success,0,808.6,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,a74b400c56313f2e0d8e2ba6e55bc164d6e369410ffacdb8e83941662fd8226b,20,20,accuracy-weighted-FedAvg,results/sweep/creditcard_smote_noniid_bert_fraud_a0.5_s42/run.log
creditcard_no-smote_centralized_bert_fraud_ana_s42,creditcard,bert_fraud,no-smote,centralized,,42,success,0,328.0,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,,n/a,n/a,n/a (centralized),results/sweep/creditcard_no-smote_centralized_bert_fraud_ana_s42/run.log
creditcard_no-smote_iid_bert_fraud_ana_s42,creditcard,bert_fraud,no-smote,iid,,42,success,0,558.6,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,7b688054df33b633896520415072d91c219323722215a77477bb3e20fe2e3cbf,20,20,accuracy-weighted-FedAvg,results/sweep/creditcard_no-smote_iid_bert_fraud_ana_s42/run.log
creditcard_no-smote_noniid_bert_fraud_a0.5_s42,creditcard,bert_fraud,no-smote,noniid,0.5,42,success,0,778.4,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,a74b400c56313f2e0d8e2ba6e55bc164d6e369410ffacdb8e83941662fd8226b,20,20,accuracy-weighted-FedAvg,results/sweep/creditcard_no-smote_noniid_bert_fraud_a0.5_s42/run.log
creditcard_smote_centralized_fedxgbllr_ana_s42,creditcard,fedxgbllr,smote,centralized,,42,success,0,41.1,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,,n/a,n/a,n/a (centralized); XGBoost (centralized upper bound),results/sweep/creditcard_smote_centralized_fedxgbllr_ana_s42/run.log
creditcard_smote_iid_fedxgbllr_ana_s42,creditcard,fedxgbllr,smote,iid,,42,failed_no_artifact,0,239.7,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,7b688054df33b633896520415072d91c219323722215a77477bb3e20fe2e3cbf,26,50,tree-ensemble+CNN-FedAvg,results/sweep/creditcard_smote_iid_fedxgbllr_ana_s42/run.log
creditcard_smote_noniid_fedxgbllr_a0.5_s42,creditcard,fedxgbllr,smote,noniid,0.5,42,failed_no_artifact,0,441.0,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,a74b400c56313f2e0d8e2ba6e55bc164d6e369410ffacdb8e83941662fd8226b,32,50,tree-ensemble+CNN-FedAvg,results/sweep/creditcard_smote_noniid_fedxgbllr_a0.5_s42/run.log
creditcard_no-smote_centralized_fedxgbllr_ana_s42,creditcard,fedxgbllr,no-smote,centralized,,42,success,0,8.3,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,,n/a,n/a,n/a (centralized); XGBoost (centralized upper bound),results/sweep/creditcard_no-smote_centralized_fedxgbllr_ana_s42/run.log
creditcard_no-smote_iid_fedxgbllr_ana_s42,creditcard,fedxgbllr,no-smote,iid,,42,failed_no_artifact,0,430.4,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,7b688054df33b633896520415072d91c219323722215a77477bb3e20fe2e3cbf,15,50,tree-ensemble+CNN-FedAvg,results/sweep/creditcard_no-smote_iid_fedxgbllr_ana_s42/run.log
creditcard_no-smote_noniid_fedxgbllr_a0.5_s42,creditcard,fedxgbllr,no-smote,noniid,0.5,42,failed_no_artifact,0,341.6,False,0,529651a852144c96edac9868cb8434348123b11c8f820d8a873597206f183f35,a74b400c56313f2e0d8e2ba6e55bc164d6e369410ffacdb8e83941662fd8226b,15,50,tree-ensemble+CNN-FedAvg,results/sweep/creditcard_no-smote_noniid_fedxgbllr_a0.5_s42/run.log
baf_smote_centralized_lr_ana_s42,baf,lr,smote,centralized,,42,skipped_inoperative,,0,True,0,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,,n/a,n/a,,
baf_smote_iid_lr_ana_s42,baf,lr,smote,iid,,42,skipped_inoperative,,0,True,0,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,cd5b049a3e8a4b5fc2a50feb0040f03325bb292df7247f2a35d5e1805119d388,n/a,20,,
baf_smote_noniid_lr_a0.5_s42,baf,lr,smote,noniid,0.5,42,success,0,29.3,False,0,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,2a1e43d2c0e3b2d5e364c97aa6701742e9100c91e782105da4381e85c440a098,20,20,FedAvg,results/sweep/baf_smote_noniid_lr_a0.5_s42/run.log
baf_no-smote_centralized_lr_ana_s42,baf,lr,no-smote,centralized,,42,success,0,6.9,False,0,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,,n/a,n/a,n/a (centralized),results/sweep/baf_no-smote_centralized_lr_ana_s42/run.log
