dataset,model,condition,arm,bg,explainer,deterministic,n_clients,manifest_sha256,data_hash,partition_hash,spearman,jaccard_at5,kuncheva,floor_mean,floor_min,between_mean,between_sd,delta,p_value,p_adj,n_matchings,disattenuated,weighted_between,weighted_within,max_nonzero_per_row,seed_delta_max,status,verdict,top_feature,note
creditcard,svm,centralized,smote,local,linear,True,1,0552f3ea8fbace37,529651a852144c96,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,V10,
creditcard,svm,dirichlet,none,local,linear,True,5,466eee6b7fcd0889,529651a852144c96,a74b400c56313f2e,0.9975,1.0,1.0,1.0,1.0,0.9975,0.0013,0.0025,undefined,n/a,0,undefined,0.9931,1.0,n/a,0.0,ok,exact_reference,V4,
creditcard,svm,dirichlet,smote,local,linear,True,5,35e2e53126e47263,529651a852144c96,a74b400c56313f2e,0.9984,1.0,1.0,1.0,1.0,0.9984,0.0008,0.0016,undefined,n/a,0,undefined,0.9989,1.0,n/a,0.0,ok,exact_reference,V4,
creditcard,svm,iid,none,local,linear,True,5,b2b738a96943ba97,529651a852144c96,7b688054df33b633,0.9988,0.8,0.856,1.0,1.0,0.9988,0.0008,0.0012,undefined,n/a,0,undefined,0.9985,1.0,n/a,0.0,ok,exact_reference,V4,
creditcard,svm,iid,smote,local,linear,True,5,0d35263d5b4320de,529651a852144c96,7b688054df33b633,0.9993,1.0,1.0,1.0,1.0,0.9993,0.0006,0.0007,undefined,n/a,0,undefined,0.9986,1.0,n/a,0.0,ok,exact_reference,V4,
creditcard,xgb,centralized,none,local,tree,True,1,230936f597b27f31,529651a852144c96,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,V14,
creditcard,xgb,centralized,smote,local,tree,True,1,7d448b02c4204c91,529651a852144c96,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,V4,
paysim,bert_fraud,centralized,none,local,kernel,False,1,f7a3a88a5f576058,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,1.0,1.0,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,13,undefined,ok,single_client,errorBalanceOrig,
paysim,bert_fraud,centralized,none,local,kernel-exact-grouped,True,1,f7a3a88a5f576058,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,1.0,1.0,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,9,0.0,ok,single_client,type,
paysim,bert_fraud,centralized,smote,local,kernel,False,1,84e78f51b6261207,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,0.989,0.989,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,13,undefined,ok,single_client,type_PAYMENT,
paysim,bert_fraud,centralized,smote,local,kernel-exact-grouped,True,1,84e78f51b6261207,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,1.0,1.0,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,9,0.0,ok,single_client,type,
paysim,bert_fraud,dirichlet,none,local,kernel,False,5,d357c4018251385e,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9456,0.8667,0.87,0.9978,0.9945,0.9456,0.0443,0.0522,0.0021,0.0026,945,0.9477,0.941,0.9987,13,undefined,ok,clients_differ,type_PAYMENT,
paysim,bert_fraud,dirichlet,none,local,kernel-exact-grouped,True,5,d357c4018251385e,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.8917,0.8667,0.82,1.0,1.0,0.8917,0.1063,0.1083,0.0032,0.0038,945,0.8917,0.9181,1.0,9,0.0,ok,clients_differ,type,
