dataset,model,scheme,alpha,oversampling,random_seed,rounds_configured,num_clients,best_round,best_val_auprc,best_val_f1,best_val_precision,best_val_recall,test_auprc,test_f1,test_precision,test_recall,test_brier,test_cal_intercept,test_cal_slope,threshold_policy,threshold,data_hash,partition_hash,rounds_completed,n_iter_selected,n_clients_below_smote_floor,baseline_auprc,timestamp,duration_seconds,run_name
paysim,bert_fraud,iid,,none,42,20.0,5,3.0,0.9088797462639344,0.8448905109489051,0.9645833333333332,0.7516233766233766,0.8575941655483033,0.8306414397784956,0.962566844919786,0.7305194805194806,0.0004315982868172,2.270954585698976,1.222694803123534,val_f1_tuned,0.0927532389760017,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,bca1e67969caa7a806e137f6f73387ccbbc9421d6ef1609b17d15af8c05a8367,20.0,,0.0,0.0012908728374998,2026-07-29T12:55:03Z,9129.888,bert_fraud_iid_alpha-_none_seed42
paysim,bert_fraud,dirichlet,0.5,smote,42,20.0,5,8.0,0.8237773684536824,0.7910863509749304,0.9240780911062908,0.6915584415584416,0.6410616211103184,0.6693386773547094,0.8743455497382199,0.5422077922077922,0.001049452165681,6.917448317207203,1.0619813129718865,val_f1_tuned,0.0015145384240895,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,09ff2c0d5af4f6c67a18c74b29d039de3d77792c9982884d2097585e32c2e7de,20.0,,2.0,0.0012908728374998,2026-07-29T08:39:05Z,12406.225,bert_fraud_dirichlet_alpha0.5_smote_seed42
paysim,gbm,iid,,smote,42,20.0,5,1.0,0.998281794630927,0.9983739837398374,1.0,0.9967532467532468,0.9964493295772544,0.9979666531110208,1.0,0.9959415584415584,1.7208406624170758e-05,-3.438648664223365,1.822767658425977,val_f1_tuned,0.9877478438439004,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,bca1e67969caa7a806e137f6f73387ccbbc9421d6ef1609b17d15af8c05a8367,20.0,12.0,0.0,0.0012908728374998,2026-07-29T21:10:20Z,252.513,gbm_iid_alpha-_smote_seed42
paysim,gbm,dirichlet,0.5,none,42,20.0,5,1.0,0.9980134115525546,0.9983739837398374,1.0,0.9967532467532468,0.9964944157210656,0.997558991049634,1.0,0.99512987012987,6.896467642685804e-06,-0.2662291239630576,0.9972975709357552,val_f1_tuned,0.9377438736033116,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,09ff2c0d5af4f6c67a18c74b29d039de3d77792c9982884d2097585e32c2e7de,20.0,99.0,2.0,0.0012908728374998,2026-07-29T21:27:15Z,352.624,gbm_dirichlet_alpha0.5_none_seed42
paysim,gbm,iid,,none,42,20.0,5,1.0,0.99731235831639,0.9975629569455728,0.9983739837398374,0.9967532467532468,0.995136316713831,0.995928338762215,0.9991830065359476,0.9926948051948052,8.024826485564594e-06,-0.9792790702249476,1.0548566943269106,val_f1_tuned,0.942633919610353,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,bca1e67969caa7a806e137f6f73387ccbbc9421d6ef1609b17d15af8c05a8367,20.0,43.0,0.0,0.0012908728374998,2026-07-29T21:21:16Z,243.331,gbm_iid_alpha-_none_seed42
paysim,gbm,dirichlet,0.5,smote,42,20.0,5,1.0,0.9982462788183604,0.9983739837398374,1.0,0.9967532467532468,0.9959902982747282,0.9979666531110208,1.0,0.9959415584415584,7.327131373814403e-06,-3.1337915870153665,1.463777432707973,val_f1_tuned,0.9775850700048656,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,09ff2c0d5af4f6c67a18c74b29d039de3d77792c9982884d2097585e32c2e7de,20.0,29.0,2.0,0.0012908728374998,2026-07-29T21:16:19Z,349.796,gbm_dirichlet_alpha0.5_smote_seed42
baf,fedxgbllr,iid,,none,42,50.0,5,6.0,0.1427463293075561,0.2120424956083297,0.1740310043096542,0.2712990939617157,0.1408823877573013,0.2134231925010681,0.1992658674716949,0.2297460734844207,0.0109039871022105,0.4167996346950531,24.683330535888672,val_f1_tuned,0.0083416691049933,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,cd5b049a3e8a4b5fc2a50feb0040f03325bb292df7247f2a35d5e1805119d388,16.0,,0.0,0.0110266664996743,2026-07-29T20:42:51Z,1327.803,fedxgbllr_iid_alpha-_none_seed42
baf,fedxgbllr,dirichlet,0.5,none,42,50.0,5,27.0,0.155142068862915,0.2305534332990646,0.1994704306125641,0.2731117904186249,0.1514632552862167,0.2235321849584579,0.1832238137722015,0.2865779995918274,0.0110261300578713,6.400147438049316,9.185771942138672,val_f1_tuned,2.665973261173349e-05,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,2a1e43d2c0e3b2d5e364c97aa6701742e9100c91e782105da4381e85c440a098,37.0,,0.0,0.0110266664996743,2026-07-30T06:10:24Z,5762.711,fedxgbllr_dirichlet_alpha0.5_none_seed42
baf,fedxgbllr,dirichlet,0.5,smote,42,50.0,5,12.0,0.1396349221467971,0.2124661207199096,0.1926289945840835,0.2368580102920532,0.1373970806598663,0.2093316465616226,0.1604381501674652,0.301088273525238,0.0110260723158717,6.207157611846924,12.210127830505373,val_f1_tuned,2.872866934922058e-05,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,2a1e43d2c0e3b2d5e364c97aa6701742e9100c91e782105da4381e85c440a098,22.0,,0.0,0.0110266664996743,2026-07-30T04:34:06Z,3483.537,fedxgbllr_dirichlet_alpha0.5_smote_seed42
baf,ffd,dirichlet,0.5,smote,42,20.0,5,2.0,0.1296161649186369,0.2042491549975857,0.1700844390832328,0.2555891238670695,0.0454689978006387,0.0935238448691779,0.0674698795180722,0.1523579201934704,0.0110196598715329,-1.0018447710136644,0.2818084924835384,val_f1_tuned,0.0007025884697213,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,2a1e43d2c0e3b2d5e364c97aa6701742e9100c91e782105da4381e85c440a098,20.0,,0.0,0.0110266666666666,2026-07-28T13:59:59Z,937.583,ffd_dirichlet_alpha0.5_smote_seed42
baf,ffd,dirichlet,0.5,none,42,20.0,5,18.0,0.15709894158153,0.2319925163704396,0.1892407478061808,0.2996978851963746,0.1568262560868991,0.2360127046176398,0.1980319803198032,0.2920193470374849,0.0106432611493019,-0.8385788889586717,0.9647110803106697,val_f1_tuned,0.2140414118766784,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,2a1e43d2c0e3b2d5e364c97aa6701742e9100c91e782105da4381e85c440a098,20.0,,0.0,0.0110266666666666,2026-07-28T14:29:51Z,926.891,ffd_dirichlet_alpha0.5_none_seed42
baf,ffd,iid,,none,42,20.0,5,20.0,0.1602194406477084,0.2339130434782608,0.1826825127334465,0.3250755287009063,0.158120135369039,0.2260528038402793,0.1768521679754182,0.313180169286578,0.009974323289839,-0.0399370003855373,1.007533248394644,val_f1_tuned,0.107497826218605,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,cd5b049a3e8a4b5fc2a50feb0040f03325bb292df7247f2a35d5e1805119d388,20.0,,0.0,0.0110266666666666,2026-07-28T14:14:15Z,530.679,ffd_iid_alpha-_none_seed42
baf,svm,centralized,,none,42,,1,,0.1426057834768484,0.2204230869678767,0.1941122355105795,0.2549848942598187,0.1442132834204492,0.2141194724592707,0.1870763669227293,0.2503022974607013,,,,val_f1_tuned,-0.8057669595152682,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,n/a (centralized),,,,0.0110266666666666,2026-07-28T13:30:08Z,3.19,centralized_svm_none_seed42
baf,xgb,centralized,,none,42,,1,,0.1560466232952927,0.229326923076923,0.1904191616766467,0.2882175226586103,0.1568529735124016,0.2356870229007633,0.1946414499605989,0.2986698911729141,0.0100079959361804,0.7519251672857764,1.2333228824060147,val_f1_tuned,0.0882284641265869,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,n/a (centralized),,,,0.0110266666666666,2026-07-28T17:39:45Z,2.59,centralized_xgb_none_seed42
baf,ffd,centralized,,none,42,,1,,0.1605300015439711,0.231718898385565,0.1908486507626124,0.2948640483383686,0.1590129894652266,0.2293923692887423,0.1878858024691358,0.2944377267230955,0.0100070894549196,-0.1794588494207198,1.0207382607117668,val_f1_tuned,0.1357819586992263,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,n/a (centralized),,,,0.0110266666666666,2026-07-28T14:05:19Z,303.161,centralized_ffd_none_seed42
baf,gbm,centralized,,none,42,,1,,0.1497703696681967,0.2292301000434971,0.1790689772341148,0.318429003021148,0.160625359361714,0.2283447211813974,0.1796739507457509,0.313180169286578,0.0099995713061991,0.0185430542387621,1.0166125510131252,val_f1_tuned,0.0915419969522387,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,n/a (centralized),,96.0,,0.0110266666666666,2026-07-29T18:09:20Z,15.221,centralized_gbm_none_seed42
baf,bert_fraud,centralized,,none,42,,1,,0.1742741073464214,0.2487831260140616,0.2251590797846304,0.2779456193353474,0.1690366905565446,0.2370289459311851,0.2161354581673306,0.2623941958887545,0.0100513146576143,1.331993081107622,1.2922352986529255,val_f1_tuned,0.0719678699970245,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,n/a (centralized),,,,0.0110266666666666,2026-07-28T15:44:20Z,1100.517,centralized_bert_fraud_none_seed42
baf,lr,centralized,,none,42,,1,,0.1421503771123491,0.2201073694485114,0.1846090871878837,0.2725075528700906,0.14366901770327,0.2177691936262675,0.1812700964630225,0.2726723095525997,0.0100684059116862,0.1263314545555282,1.0376382069890704,val_f1_tuned,0.1066482017073104,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,n/a (centralized),,,,0.0110266666666666,2026-07-28T13:28:47Z,0.755,centralized_lr_none_seed42
baf,svm,iid,,none,42,20.0,5,1.0,0.0970370179742795,0.1763593380614657,0.1448543689320388,0.2253776435045317,0.0848287455696035,0.1610768879762719,0.129351410773177,0.213422007255139,,,,val_f1_tuned,-1.5489811559183124,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,cd5b049a3e8a4b5fc2a50feb0040f03325bb292df7247f2a35d5e1805119d388,20.0,,0.0,0.0110266666666666,2026-07-28T13:30:24Z,12.645,svm_iid_alpha-_none_seed42
