dataset,model,condition,arm,explainer,n_clients,manifest_sha256,data_hash,partition_hash,spearman,jaccard_at5,kuncheva,noise_floor,below_floor,top_feature,stability_note
paysim,fedxgbllr,iid,none,kernel,5,d5795556729339f6,dd257865dfff5b8f,bca1e67969caa7a8,0.9297,1.0,1.0,0.973,True,errorBalanceOrig,
paysim,fedxgbllr,iid,smote,kernel,5,1d603e74e857ffcf,dd257865dfff5b8f,bca1e67969caa7a8,0.9473,0.8,0.805,0.973,True,errorBalanceOrig,
paysim,ffd,dirichlet,none,kernel,5,810e32e1bed8527c,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9374,0.8667,0.87,0.9966,True,type_CASH_IN,
paysim,ffd,iid,smote,kernel,5,a3709dd0cd429889,dd257865dfff5b8f,bca1e67969caa7a8,0.9791,0.8,0.805,0.9966,True,errorBalanceOrig,
paysim,ffd,iid,none,kernel,5,29cd2e588d36e7ad,dd257865dfff5b8f,bca1e67969caa7a8,0.9923,1.0,1.0,0.9966,True,newbalanceDest,
baf,bert_fraud,dirichlet,none,kernel,5,29b30f1f2e40e468,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9692,0.5571,0.67,0.9972,True,phone_home_valid,
baf,bert_fraud,centralized,none,kernel,1,86dc8ea477bbc0da,b3e0d335cd39bbe7,n/a (centralized,undefined,undefined,undefined,0.9972,n/a,prev_address_months_count_missing,fewer than 2 clients
baf,bert_fraud,dirichlet,smote,kernel,5,9d881d4a3e7fbede,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9648,0.5333,0.648,0.9972,True,income,
baf,bert_fraud,iid,none,kernel,5,60f2ea949c0fe358,b3e0d335cd39bbe7,cd5b049a3e8a4b5f,0.978,0.6524,0.758,0.9972,True,current_address_months_count,
creditcard,bert_fraud,dirichlet,none,kernel,5,b89b50fd907c79e1,529651a852144c96,a74b400c56313f2e,0.9755,0.8667,0.904,0.9972,True,V4,
creditcard,bert_fraud,centralized,none,kernel,1,b2c73bcb3126ccd1,529651a852144c96,n/a (centralized,undefined,undefined,undefined,0.9972,n/a,V14,fewer than 2 clients
creditcard,bert_fraud,dirichlet,smote,kernel,5,4b157f2ce23432b4,529651a852144c96,a74b400c56313f2e,0.946,0.6857,0.76,0.9972,True,V4,
creditcard,bert_fraud,iid,smote,kernel,5,3a8d7592c4d6ed9d,529651a852144c96,7b688054df33b633,0.9539,0.6048,0.688,0.9972,True,V4,
creditcard,bert_fraud,centralized,smote,kernel,1,57a0f0b5c5ad5534,529651a852144c96,n/a (centralized,undefined,undefined,undefined,0.9972,n/a,V4,fewer than 2 clients
creditcard,bert_fraud,iid,none,kernel,5,80fc72203fe341b5,529651a852144c96,7b688054df33b633,0.9874,1.0,1.0,0.9972,True,V4,
paysim,bert_fraud,dirichlet,none,kernel,5,d357c4018251385e,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9429,0.8667,0.87,0.9972,True,type_PAYMENT,
paysim,bert_fraud,centralized,none,kernel,1,f7a3a88a5f576058,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,0.9972,n/a,errorBalanceOrig,fewer than 2 clients
paysim,bert_fraud,dirichlet,smote,kernel,5,0132fd80b458ad44,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9626,1.0,1.0,0.9972,True,type_PAYMENT,
paysim,bert_fraud,iid,smote,kernel,5,0cfb3769d2367eda,dd257865dfff5b8f,bca1e67969caa7a8,0.9291,1.0,1.0,0.9972,True,type_PAYMENT,
paysim,bert_fraud,centralized,smote,kernel,1,84e78f51b6261207,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,0.9972,n/a,type_PAYMENT,fewer than 2 clients
paysim,bert_fraud,iid,none,kernel,5,3383f34942b5a41c,dd257865dfff5b8f,bca1e67969caa7a8,0.9544,1.0,1.0,0.9972,True,type_PAYMENT,
